platform,author,title,content,rating,version,vote_sum,vote_count,updated,review_id,country
appstore,땡큐 잡스!!!!,영상 편집자에 최고의 앱~ 사랑합니다,사랑합니다~,5,0.8.4,0,0,2022-08-17T07:39:33-07:00,8988221972,kr
appstore,항이용,질문 있습니다!!!,"안녕하세요...그동안 Vrew 와 함께 많은 영상을 만들었는데요...
최근들어서 영상을 자막과 함께 추출할때....60 프레임 으로 추출 하는데
계속해서 결과물은 30 프레임으로 저장이 됩니다...
예전에는 60 프레임 하면 그대로 저장 되었는데...왜 그런가요?
어떻게 문제를 해결할수 있나요??",3,0.8.3,0,0,2022-06-01T07:56:18-07:00,8730275049,kr
appstore,추천인 eience,음성인식만 따졌을땐 클로바와 차이가 심합니다,열심히 개발중이시겠죠 기다리겠습니다,4,0.8.3,0,0,2022-04-10T01:12:50-07:00,8551573151,kr
appstore,억울한 사람 1,제가 아는 앱에서 가장 최고에요,"저는 현재 브루를 굉장히 잘쓰고 있는데요 이 앱을 진짜 많이 추천합니다 
첫번째 자동자막이 너무 잘됌
두번째 자르기가 쉬움
세번째 조작법이 쉬움
더 있지만 그만하겠습니다
아무튼 전 이 앱이 너무 좋아요",5,0.8.1,0,0,2022-03-21T20:11:18-07:00,8481821929,kr
appstore,백승연8850,진짜 대박 사랑해요,"개발자님 진짜 최고
돈 많이 버세요 너무 감사해요♥️",5,0.8.1,0,0,2022-03-08T17:27:05-07:00,8435300207,kr
appstore,peacefulman,실용적인 앱입니다.,알아서 자막을 달아주니 자막 붙이기도 편하고 편집하기도 내용구분이 쉽습니다.,5,0.8.1,0,0,2022-03-05T18:45:50-07:00,8425081637,kr
appstore,SSUM_-_,워터마크 제거가 안돼요ㅠㅠ,"진짜 엄청 잘 쓰고 있었는데 갑자기 워터마크 제거가 안됩니다ㅠㅠ
워터마크가 흐릿하게 보여요",4,0.8.1,0,0,2022-01-19T20:31:22-07:00,8260636208,kr
appstore,별명 만들 게 없다,"자막 넣기는 정말 편한데 다중자막, pip 등의 개선이 이루어지면 정말 좋겠습니다","작년에 몇 번 쓰다가 익숙지 않아서 그만 두었었는데 오랜만에 다시 편집해보니 더 편하고 폰트도 예뻐지고, 음성인식도 더 좋아진 게 보입니다!

게다가 다른 프로그램보다 확실히 컷편집도 쉽다는 게 큰 장점이네요

다만 한 화면에서 자막이 하나만 생성되는 점(예를 들면 말하는 자막을 깔고 좌 상단에 그 도움 설명을 넣고자 해요..!)이 약간 불편하고,

그리고 로고나 도움 사진 등을 넣고 싶은데 pip가 안 되는 점도 개선된다면 정말 좋을 것 같아요.

마지막으로, 소스를 추가할 때 지금은 시간 역순으로 나오는데 기본 사진첩처럼 즐겨찾기 앨범으로 전에 만들어둔 영상을 넣을 수 있으면 좋겠습니다.

아, 그리고 이건 문의사항인데, 아이패드만 사용하는데 프로젝트 파일을 루마퓨전 등으로 내보내는 건 안 되는 건가요??
vrew의 장점은 어절로 화면 편집이 쉽게 가능한 건데, 위의 다중 자막, 로고 등의 문제를 해결하기 위해 다른 프로그램을 같이 쓰려니 결국 다른 프로그램에서 편집을 다 끝내고 자막을 마지막으로 달러와야 하더라고요.
그런데 그러면 vrew의 저 큰 장점을 유용하게 쓸 수가 없다는 점이 아쉬워서요..!",5,0.8.1,0,0,2021-10-28T22:22:59-07:00,7964967217,kr
appstore,skei$839,정말 좋아요!,"사진 수정할때, 사진을 여러게 묶어서 동영상 만들때 주로 사용하고있는데 너무 편하고 좋아요! 인공지능 인식은 Siri 뺨때리는 수준이고요. 좋은 콘텐츠 만들어주셔서 정말 감사해요!",5,0.7.12,0,0,2021-10-05T03:09:09-07:00,7880244814,kr
appstore,엘프링,와ㅠㅠ,안녕하세요 오늘 브루를 처음 써본 초보 유튜버입니다 취미로 영상 가끔씩 올리는데 자막을 못 넣어서 매일 아쉬웠었는데 이제는 그 아쉬움을 날려버릴수 있을것 같습니다 사용법도 간단해서 편하게 자막을 넣을수 있어서 너무 좋습니다. 이런앱을 만들어주셔서 감사합니다.,5,0.7.12,0,0,2021-10-03T02:23:34-07:00,7872421749,kr
